start_time,end_time,duration_hours,max_abs_residual_MW,mean_abs_residual_MW,max_score
2015-01-03 02:00:00+00:00,2015-01-03 16:00:00+00:00,15,3768.0,2026.4666666666667,5.3434925
2015-01-10 03:00:00+00:00,2015-01-10 11:00:00+00:00,9,1826.0,968.6666666666666,4.8613753
2015-06-15 07:00:00+00:00,2015-06-15 10:00:00+00:00,4,823.0,766.75,3.4545887
2015-06-17 06:00:00+00:00,2015-06-17 15:00:00+00:00,10,11367.0,10921.8,4.5578957
2015-06-17 23:00:00+00:00,2015-06-18 17:00:00+00:00,19,2228.0,1648.6842105263158,8.487194
2015-06-21 02:00:00+00:00,2015-06-21 14:00:00+00:00,13,7975.0,6275.2307692307695,5.607207
2015-06-22 06:00:00+00:00,2015-06-22 13:00:00+00:00,8,1058.0,644.875,3.8942087
2015-06-24 02:00:00+00:00,2015-06-24 15:00:00+00:00,14,12806.0,11093.642857142857,5.5505824
2015-06-24 23:00:00+00:00,2015-06-25 18:00:00+00:00,20,2655.0,1547.85,9.171744
2015-10-02 11:00:00+00:00,2015-10-03 07:00:00+00:00,21,10587.0,1459.6190476190477,6.4949837
2015-10-03 11:00:00+00:00,2015-10-03 11:00:00+00:00,1,844.0,844.0,3.9596093
2015-10-23 09:00:00+00:00,2015-10-23 10:00:00+00:00,2,7210.0,6178.0,3.5725899
2015-10-23 14:00:00+00:00,2015-10-23 16:00:00+00:00,3,1597.0,676.0,3.6094005
2015-12-07 07:00:00+00:00,2015-12-07 08:00:00+00:00,2,3423.0,1937.0,3.3870094
2015-12-14 07:00:00+00:00,2015-12-14 09:00:00+00:00,3,6032.0,5332.0,3.8009517
2015-12-14 12:00:00+00:00,2015-12-14 14:00:00+00:00,3,4402.0,4184.333333333333,3.3851547
2015-12-24 06:00:00+00:00,2015-12-25 14:00:00+00:00,33,11936.0,6063.757575757576,12.159839
2016-01-01 06:00:00+00:00,2016-01-01 22:00:00+00:00,17,7376.0,3445.5882352941176,6.4610143
2016-01-02 06:00:00+00:00,2016-01-02 18:00:00+00:00,13,7803.0,5644.384615384615,6.3955293
2016-01-09 03:00:00+00:00,2016-01-09 13:00:00+00:00,11,1310.0,551.5454545454545,6.835823
2016-01-10 09:00:00+00:00,2016-01-11 01:00:00+00:00,17,2439.0,1407.8823529411766,5.2710953
2016-01-11 05:00:00+00:00,2016-01-12 01:00:00+00:00,21,12947.0,6172.333333333333,7.6935406
2016-01-16 06:00:00+00:00,2016-01-16 08:00:00+00:00,3,3397.0,2155.0,4.0422945
2016-01-18 06:00:00+00:00,2016-01-18 07:00:00+00:00,2,5785.0,5597.5,3.684038
2016-02-01 14:00:00+00:00,2016-02-01 20:00:00+00:00,7,4249.0,3440.714285714286,4.729731
2016-02-15 07:00:00+00:00,2016-02-15 08:00:00+00:00,2,10175.0,9675.0,3.5454957
2016-02-22 07:00:00+00:00,2016-02-22 07:00:00+00:00,1,5260.0,5260.0,3.4365528
2016-04-16 03:00:00+00:00,2016-04-16 08:00:00+00:00,6,3647.0,2715.3333333333335,3.9573958
2016-04-18 09:00:00+00:00,2016-04-18 15:00:00+00:00,7,4154.0,3693.0,5.3486075
2016-04-25 07:00:00+00:00,2016-04-25 14:00:00+00:00,8,4647.0,3871.25,7.3096004
2016-05-09 09:00:00+00:00,2016-05-09 15:00:00+00:00,7,9390.0,8453.285714285714,4.1848526
2016-05-17 08:00:00+00:00,2016-05-17 12:00:00+00:00,5,4016.0,3543.4,3.8162892
2016-05-17 23:00:00+00:00,2016-05-18 00:00:00+00:00,2,1720.0,1675.5,3.855849
2016-09-19 09:00:00+00:00,2016-09-19 13:00:00+00:00,5,2652.0,2106.0,4.3554196
2016-11-01 04:00:00+00:00,2016-11-01 14:00:00+00:00,11,7947.0,5088.454545454545,5.8631234
2017-01-01 10:00:00+00:00,2017-01-02 01:00:00+00:00,16,6199.0,3685.25,8.974816
2017-01-02 11:00:00+00:00,2017-01-03 04:00:00+00:00,17,6987.0,3773.764705882353,6.1015563
2017-02-28 03:00:00+00:00,2017-02-28 05:00:00+00:00,3,2612.0,1397.0,3.6512496
2017-04-29 14:00:00+00:00,2017-04-30 07:00:00+00:00,17,6213.0,1919.8823529411766,4.1971526
2017-11-01 07:00:00+00:00,2017-11-01 19:00:00+00:00,13,8417.0,4217.7692307692305,6.4713225
2018-03-26 10:00:00+00:00,2018-03-26 10:00:00+00:00,1,2063.0,2063.0,3.44428
2018-12-29 04:00:00+00:00,2018-12-29 10:00:00+00:00,7,7081.0,6402.571428571428,5.622904
2019-01-01 14:00:00+00:00,2019-01-01 15:00:00+00:00,2,408.0,327.0,3.3230793
2019-01-05 08:00:00+00:00,2019-01-05 09:00:00+00:00,2,934.0,660.5,3.4470532
